model_id,model_family,dataset,method_condition,trials,median_latency_seconds,median_prompt_tokens,median_completion_tokens,median_total_tokens,standard_latency_seconds,standard_total_tokens,latency_multiplier_vs_standard,token_multiplier_vs_standard
aliyun_qwen36,Qwen,exp2,debate,1008,,,,,,,,
aliyun_qwen36,Qwen,exp2,standard,1008,,,,,,,,
aliyun_qwen36,Qwen,exp3,debate,1008,,,,,,,,
aliyun_qwen36,Qwen,exp3,standard,1008,,,,,,,,
deepseek_chat,DeepSeek,exp2,debate,1008,,,,,,,,
deepseek_chat,DeepSeek,exp2,standard,1008,,,,,,,,
deepseek_chat,DeepSeek,exp3,debate,1008,,,,,,,,
deepseek_chat,DeepSeek,exp3,standard,1008,,,,,,,,
deepseek_chat,DeepSeek,sycophancy,standard,1152,1.4485365000000456,153.5,4.0,157.5,1.4485365000000456,157.5,1.0,1.0
deepseek_v4flash,DeepSeek,exp2,anti_sycophancy_truth_first,1008,1.5958526999997957,539.5,35.0,575.0,0.6653377499987982,495.5,2.3985602801023664,1.160443995963673
deepseek_v4flash,DeepSeek,exp2,debate,1008,6.647054549997847,2586.0,282.0,2869.0,0.6653377499987982,495.5,9.990496631237072,5.790110998990918
deepseek_v4flash,DeepSeek,exp2,standard,1008,0.6653377499987982,491.5,4.0,495.5,0.6653377499987982,495.5,1.0,1.0
deepseek_v4flash,DeepSeek,exp3,anti_sycophancy_truth_first,1008,1.6022283500001322,497.0,38.0,533.0,0.7983309999999619,453.0,2.006972483844682,1.1766004415011038
deepseek_v4flash,DeepSeek,exp3,debate,1008,7.9127473999978974,2440.0,290.0,2727.0,0.7983309999999619,453.0,9.91161235126567,6.0198675496688745
deepseek_v4flash,DeepSeek,exp3,standard,1008,0.7983309999999619,449.0,4.0,453.0,0.7983309999999619,453.0,1.0,1.0
deepseek_v4flash,DeepSeek,sycophancy,anti_sycophancy_truth_first,1152,1.2509344999994028,235.5,34.0,269.0,0.7298606000003929,191.5,1.7139361954854522,1.4046997389033942
deepseek_v4flash,DeepSeek,sycophancy,debate,1152,5.818560600007913,1316.0,239.0,1555.0,0.7298606000003929,191.5,7.972153312570621,8.120104438642297
deepseek_v4flash,DeepSeek,sycophancy,standard,1152,0.7298606000003929,187.5,4.0,191.5,0.7298606000003929,191.5,1.0,1.0
gemini25_flash,Gemini/Gemma,exp2,debate,1007,,,,,,,,
gemini25_flash,Gemini/Gemma,exp2,standard,1008,,,,,,,,
gemini25_flash,Gemini/Gemma,exp3,debate,1008,,,,,,,,
gemini25_flash,Gemini/Gemma,exp3,standard,1008,,,,,,,,
gemma4_31b,Gemini/Gemma,exp2,debate,1008,,,,,,,,
gemma4_31b,Gemini/Gemma,exp2,standard,1008,,,,,,,,
gemma4_31b,Gemini/Gemma,exp3,debate,1008,32.54583240000284,2378.0,222.0,2597.0,,,,
gemma4_31b,Gemini/Gemma,exp3,standard,1008,,,,,,,,
gemma4_e4b_base,Gemini/Gemma,exp2,counterfactual_consistency_vote,1008,1.6763201500000093,1589.5,15.0,1604.5,0.562943500000074,520.5,2.9777768994575635,3.0826128722382324
gemma4_e4b_base,Gemini/Gemma,exp2,standard,1008,0.562943500000074,515.5,5.0,520.5,0.562943500000074,520.5,1.0,1.0
gemma4_e4b_base,Gemini/Gemma,exp3,counterfactual_consistency_vote,1008,1.6709608999999546,1470.5,15.0,1485.5,0.5635683000000427,470.0,2.964966091953412,3.1606382978723406
gemma4_e4b_base,Gemini/Gemma,exp3,standard,1008,0.5635683000000427,465.0,5.0,470.0,0.5635683000000427,470.0,1.0,1.0
qwen3_32b_awq,Qwen,exp2,debate,1007,,,,,,,,
qwen3_32b_awq,Qwen,exp2,standard,1008,,,,,,,,
qwen3_4b_base,Qwen,exp2,counterfactual_consistency_vote,1008,1.1685633499982941,1578.5,15.0,1593.5,0.36740144999566837,514.0,3.1806171423985163,3.100194552529183
qwen3_4b_base,Qwen,exp2,standard,1008,0.36740144999566837,509.0,5.0,514.0,0.36740144999566837,514.0,1.0,1.0
qwen3_4b_base,Qwen,exp3,counterfactual_consistency_vote,1008,1.1540345999965211,1416.0,15.0,1431.0,0.38829469999836874,450.5,2.9720585936438724,3.176470588235294
qwen3_4b_base,Qwen,exp3,standard,1008,0.38829469999836874,445.5,5.0,450.5,0.38829469999836874,450.5,1.0,1.0
qwen3_8b_base,Qwen,exp2,counterfactual_consistency_vote,1008,1.101300899999842,1578.5,15.0,1593.5,0.3596440499995879,514.0,3.0621969138683203,3.100194552529183
qwen3_8b_base,Qwen,exp2,standard,1008,0.3596440499995879,509.0,5.0,514.0,0.3596440499995879,514.0,1.0,1.0
qwen3_8b_base,Qwen,exp3,counterfactual_consistency_vote,1008,1.0760513500008528,1416.0,15.0,1431.0,0.35764299999982535,450.5,3.008730354016095,3.176470588235294
qwen3_8b_base,Qwen,exp3,standard,1008,0.35764299999982535,445.5,5.0,450.5,0.35764299999982535,450.5,1.0,1.0
zhipu_glm51,GLM,exp2,standard,1008,,,,,,,,
zhipu_glm51,GLM,exp3,standard,1008,,,,,,,,
