model_id,yes_no_gap,omission_gap,moral_bias_mean,exp2_moral_bias,exp3_moral_bias,sycophancy_wrong_belief,debate_reduction,feature_coverage,baseline_moral_bias_mean,yes_no_gap_confirmatory,omission_gap_confirmatory,cross_dataset_stability,method_sensitivity_sd,debate_reduction_confirmatory
aliyun_qwen36,-0.4035214868019716,-0.11662644689627526,-0.27167022205016833,-0.44732943214726467,-0.21519661799294051,3.783732598514762e-16,-0.31756099827847983,0.40504629365049166,-1.007834263944961,-1.2010776795775688,-0.7506506259026253,-0.21530556236583623,-1.0323169055895576,0.12016305336998295
deepseek_chat,1.010983842915941,0.8783429281875715,0.9817363039554137,0.4102237649645421,0.8870135597896522,-0.34209927507547533,0.5840498171790128,1.2151388809514745,0.27743518532863837,0.2691378077983179,0.2685517325427491,-0.09818880041958371,-0.5681939265035825,1.2898674201702607
deepseek_v4flash,1.6911831271518767,1.2652754629424006,1.537453760469215,1.0962663226539873,0.9535900134812185,3.783732598514762e-16,0.6834537175292583,1.2151388809514745,0.8472795689871591,0.9761266760446456,0.6649082052715056,1.1688016242716897,-0.34943484966597316,2.8909521208259576
deepseek_v4pro,1.7993966496439575,1.8496225562456126,1.8944109588138465,1.2624172545944001,1.3752408868611363,2.0719597603627875,3.3400374871235483,1.6201851746019658,0.0,0.0,0.0,7.943389787135191e-16,0.0,6.18922828267833e-16
gemini25_flash,-0.01704462075882584,-0.3377307524704635,-0.18243092246401044,-0.8761060307031683,0.5393365238448077,3.783732598514762e-16,-0.24024685356162215,0.40504629365049166,-0.9163264067151253,-0.799379458983064,-0.9771400388904864,-2.1530556236583727,-0.9925178364609737,0.2204665226055976
gemma4_31b,2.8833874619160057e-16,0.0,-3.02630694856941e-16,-3.9987162779526613e-16,0.0,3.783732598514762e-16,-4.770671391321736e-16,0.0,-1.7523754659513502,-2.22139115988761,-1.17127382145151,0.6683936414104291,-1.7433138097212646,-1.6717244872602268
gemma4_31b_api,-1.3851727265515608,-1.4116659509736633,-1.4520627756670754,-0.7045953912808071,0.0,3.783732598514762e-16,-1.4429759168637195,4.496917212498578e-16,0.0,0.0,0.0,7.943389787135191e-16,0.0,6.18922828267833e-16
gemma4_e4b_base,0.7687916735289034,0.6782961755252109,0.7518775019910672,2.296840798610517,-1.420970168184636,1.3619423969985929,-4.770671391321736e-16,0.8100925873009829,1.0178169392791256,1.0564663201635462,0.9156643410794943,1.4136821265229431,1.4495889542035283,6.18922828267833e-16
gemma4_e4b_sft,-0.8904823380163347,-1.0299978044467915,-0.996401503537754,-1.1119331599089153,-1.7316602854119447,-0.058092329729797915,-4.770671391321736e-16,0.40504629365049166,0.0,0.0,0.0,7.943389787135191e-16,0.0,6.18922828267833e-16
pilot_api_sycophancy_24x4,2.8833874619160057e-16,0.0,-3.02630694856941e-16,-3.9987162779526613e-16,0.0,-1.6201305291310264,-4.770671391321736e-16,-1.6201851746019649,0.0,0.0,0.0,7.943389787135191e-16,0.0,6.18922828267833e-16
pilot_deepseek_joint_top3,2.8833874619160057e-16,0.0,-3.02630694856941e-16,-3.9987162779526613e-16,0.0,-0.1290940660662168,-4.770671391321736e-16,-1.6201851746019649,0.0,0.0,0.0,7.943389787135191e-16,0.0,6.18922828267833e-16
qwen3_32b_awq,2.8833874619160057e-16,0.0,-3.02630694856941e-16,-3.9987162779526613e-16,0.0,3.783732598514762e-16,-4.770671391321736e-16,0.0,-2.0684935181998725,-1.176975786341898,-2.8375887884336306,7.943389787135191e-16,-1.4865649276737036,-2.849724629711569
qwen3_32b_local,-0.38033287483938233,-2.153944691115581,-1.306034830889726,-0.6081206566057287,0.0,3.783732598514762e-16,-2.6067572531280003,0.40504629365049166,0.0,0.0,0.0,7.943389787135191e-16,0.0,6.18922828267833e-16
qwen3_4b_base,1.789090599882807,2.126002938213348,2.0309741293926638,2.296840798610517,2.1297740286988844,1.3619423969985929,-4.770671391321736e-16,0.8100925873009829,2.132549018260759,1.980372227530908,2.153267204906022,1.0729788190429375,2.3317517797002756,6.18922828267833e-16
qwen3_4b_expanded_sft,-1.3671371394695468,-1.2300445571091516,-1.3493023700830147,-1.3048826292590716,-2.042350402639252,0.08391114294304174,-4.770671391321736e-16,0.40504629365049166,0.0,0.0,0.0,7.943389787135191e-16,0.0,6.18922828267833e-16
qwen3_4b_expanded_sft_dpo,-2.250880906488206,-0.8746983517220636,-1.630541374839391,-1.3048826292590716,-1.5097387731067244,1.3619423969985929,-4.770671391321736e-16,0.40504629365049166,0.0,0.0,0.0,7.943389787135191e-16,0.0,6.18922828267833e-16
qwen3_4b_structured_cr_sft,2.8833874619160057e-16,0.0,-3.02630694856941e-16,-3.9987162779526613e-16,0.0,3.783732598514762e-16,-4.770671391321736e-16,-1.6201851746019649,0.0,0.0,0.0,7.943389787135191e-16,0.0,6.18922828267833e-16
qwen3_8b_base,2.8833874619160057e-16,0.0,-3.02630694856941e-16,-3.9987162779526613e-16,0.0,3.783732598514762e-16,-4.770671391321736e-16,0.0,2.207419083266986,2.27762891077084,1.9995779603785448,1.2646244295004403,2.391001521711251,6.18922828267833e-16
smoke_api_sycophancy_methods,2.8833874619160057e-16,0.0,-3.02630694856941e-16,-3.9987162779526613e-16,0.0,-2.0461409471495435,-4.770671391321736e-16,-1.6201851746019649,0.0,0.0,0.0,7.943389787135191e-16,0.0,6.18922828267833e-16
smoke_nvidia_kimi25_std_cr,2.8833874619160057e-16,0.0,-3.02630694856941e-16,-3.9987162779526613e-16,0.0,-2.0461409471495435,-4.770671391321736e-16,-1.6201851746019649,0.0,0.0,0.0,7.943389787135191e-16,0.0,6.18922828267833e-16
zhipu_glm51,-0.3648738001976566,0.3571684936198424,-0.008008655091065426,-1.0047390102699392,1.034961234659799,3.783732598514762e-16,-4.770671391321736e-16,4.496917212498578e-16,-0.7374701403113559,-1.160907857518118,-0.265316169500066,-3.1219306543046397,0.0,6.18922828267833e-16
